Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
44;QUEULE-INIA;R-002_Plot-044;0.5416863;26.544558;0.1975826;59.122726;5.7078767;25.195246;22.047209;28.479057;1.55E-04;0;100
45;QUC 3454-2017  ;R-002_Plot-045;0.5331838;26.440207;0.20321023;58.31214;5.9850907;25.368969;22.485907;28.460918;1.55E-04;0;100
46;QUC 3328-2019;R-002_Plot-046;0.52028316;25.446075;0.20382345;56.90554;6.5084815;24.81192;22.905718;27.562647;1.55E-04;0;100
47;QUC 3207-2020;R-002_Plot-047;0.5089846;25.204277;0.20848364;55.776875;6.784645;24.756094;23.19413;27.258385;0;0;NaN
48;QUC 3591-2020;R-002_Plot-048;0.5664502;28.68984;0.21017665;61.986156;5.218858;27.5569;22.649593;31.419443;1.54E-04;0;100
49;QUC 3590-2020;R-002_Plot-049;0.5367164;27.18826;0.20708841;58.789246;5.7457495;25.937847;22.421434;29.15674;0;0;NaN
50;QUC 3301-2019;R-002_Plot-050;0.56557137;28.817802;0.1932463;61.713684;4.2852345;25.952707;20.399351;29.961708;1.54E-04;0;100
51;QUC 4551-2021;R-003_Plot-051;0.5012048;27.605999;0.19930404;55.120586;4.795681;23.957836;19.662123;26.782742;3.08E-04;0;100
52;QUC 3526-2017;R-003_Plot-052;0.5551824;27.776306;0.18750483;60.498543;4.5563617;24.913774;20.23052;28.656172;4.62E-04;0;100
53;QUC 3628-2020;R-003_Plot-053;0.53765684;25.998598;0.1897974;58.58144;5.5749936;24.28443;21.357414;27.503119;3.08E-04;0;100
54;QUC 3607-2020;R-003_Plot-054;0.5550913;26.519608;0.18313247;60.32177;5.056398;24.367775;20.740501;27.964104;1.54E-04;0;100
55;QUC 3305-2019;R-003_Plot-055;0.51779014;25.565197;0.19059265;56.536232;5.6845055;23.594854;21.008972;26.463806;0;0;NaN
56;QUC 3492-2018;R-003_Plot-056;0.534564;26.984348;0.203821;58.51287;5.6802425;25.538086;22.10511;28.727686;3.11E-04;0;100
57;QUC 3527-2020;R-003_Plot-057;0.5474076;27.931376;0.19890541;59.858288;4.9669986;25.698938;21.186958;29.26231;1.55E-04;0;100
