Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
187;QUC 3315-2019;480;43.9196;1.756;39.4132;48.4964;100;-3.40E+38;3.40E+38
188;QUC 3309-2020;480;45.3785;2.3505;41.122;54.0212;100;-3.40E+38;3.40E+38
189;QUC 3531-2022;480;46.1819;2.5808;40.128;52.1839;100;-3.40E+38;3.40E+38
190;QUC 3610-2020;480;45.8909;1.8663;42.1077;51.1654;100;-3.40E+38;3.40E+38
191;QUC 3534-2022;480;44.3935;1.9601;39.6852;51.1679;100;-3.40E+38;3.40E+38
192;QUC 3517-2017  ;480;44.9115;2.2042;39.9891;50.1121;100;-3.40E+38;3.40E+38
193;QUC 3416-2020;480;44.2858;2.4473;40.1592;53.6323;100;-3.40E+38;3.40E+38
194;QUC 3558-2020;477;42.6027;1.5608;39.2298;46.6876;100;-3.40E+38;3.40E+38
195;QUC 4562-2021;496;44.9351;2.0464;40.1041;52.1324;100;-3.40E+38;3.40E+38
196;QUC 4537-2021;467;42.2466;1.8795;39.2446;49.5336;100;-3.40E+38;3.40E+38
197;QUC 3409-2020;493;42.4889;1.5522;39.2333;47.9375;100;-3.40E+38;3.40E+38
198;QUC 3630-2020;493;41.8704;1.6087;39.2955;48.563;100;-3.40E+38;3.40E+38
199;QUC 3624-2020;496;43.4581;1.6376;40.6811;51.2306;100;-3.40E+38;3.40E+38
200;QUC 3509-2017 ;487;41.4158;1.6465;39.2315;47.4843;100;-3.40E+38;3.40E+38
201;QUC 3679-2020;485;42.958;2.4715;39.2668;49.6559;100;-3.40E+38;3.40E+38
202;QUC 3493-2018;496;44.1778;1.9292;39.9152;53.0679;100;-3.40E+38;3.40E+38
203;QUC 3509-2017;495;42.9653;1.7968;39.3413;49.5279;100;-3.40E+38;3.40E+38
204;QUC 3614-2020;496;43.6259;2.2125;39.6115;50.1817;100;-3.40E+38;3.40E+38
205;QUC 4540-2021;496;44.2963;1.7909;40.3679;50.2189;100;-3.40E+38;3.40E+38
206;QUC 3772-2021;496;46.7111;1.9829;43.0741;52.7563;100;-3.40E+38;3.40E+38
207;QUC 3417-2020;487;44.7934;2.1467;39.4174;52.4075;100;-3.40E+38;3.40E+38
208;QUC 3584-2020;480;45.9327;1.9868;40.7651;51.6132;100;-3.40E+38;3.40E+38
209;QUC 3618-2020;480;45.8817;1.7963;41.8922;50.4088;100;-3.40E+38;3.40E+38
210;QUC 3489-2018  ;480;46.5846;1.7362;43.8239;51.5862;100;-3.40E+38;3.40E+38
211;QUC 4480-2021;479;46.4498;1.926;41.8801;52.8854;100;-3.40E+38;3.40E+38
212;QUC 3513-2020;479;45.5857;1.957;42.2844;54.139;100;-3.40E+38;3.40E+38
213;QUC 3632-2020;480;45.3905;1.8992;41.6793;50.7306;100;-3.40E+38;3.40E+38
214;QUC 3601-2020;480;45.7894;1.9326;42.3304;53.5923;100;-3.40E+38;3.40E+38
215;QUC 4597-2021;479;44.8957;2.6275;39.2708;53.752;100;-3.40E+38;3.40E+38
216;QUC 3543-2022;480;42.7474;1.7189;39.7666;48.283;100;-3.40E+38;3.40E+38
217;QUC 3224-2020;480;47.3813;2.0502;42.8514;53.3203;100;-3.40E+38;3.40E+38
218;QUC 4557-2021;480;46.9197;2.0619;41.7774;51.888;100;-3.40E+38;3.40E+38
219;QUC 3581-2020;471;44.8071;2.0872;39.8578;50.9218;100;-3.40E+38;3.40E+38
220;QUC 3637-2020;464;46.2257;2.5888;41.2998;53.2584;100;-3.40E+38;3.40E+38
221;QUC 3661-2020;464;46.7401;2.1821;42.5667;54.1;100;-3.40E+38;3.40E+38
222;QUC 3613-2017 ;452;46.4998;2.6319;40.3744;54.1864;100;-3.40E+38;3.40E+38
223;QUC 3561-2020;464;46.6337;2.1693;42.3095;54.0295;100;-3.40E+38;3.40E+38
224;QUC 3627-2020;454;47.3977;2.1698;43.3786;54.2506;100;-3.40E+38;3.40E+38
225;QUC 4543-2021;390;45.9824;2.5163;41.716;53.9532;100;-3.40E+38;3.40E+38
226;QUC 3423-2020;464;44.439;2.2233;39.2508;50.8681;100;-3.40E+38;3.40E+38
227;QUC 3117-2020;460;47.8378;2.4465;42.0721;54.2135;100;-3.40E+38;3.40E+38
228;QUC 3422-2020;460;49.5188;2.1054;43.3784;54.0309;100;-3.40E+38;3.40E+38
