Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
455;QUC 3492-2018;R-019_Plot-455;0.52014875;32.119343;0.27594835;58.464222;5.2817965;32.016075;24.339888;34.94383;6.31E-04;0;100
456;QUC 3585-2020;R-019_Plot-456;0.58414096;33.07834;0.2630127;64.99618;4.57187;34.000317;24.801744;38.34694;0;0;NaN
457;QUC 3702-2020;R-019_Plot-457;0.51076937;30.113394;0.2416653;56.83078;5.2159185;28.305578;22.450262;31.196875;9.02E-05;0;100
458;QUC 3581-2018;R-019_Plot-458;0.43180582;29.697443;0.27208507;48.810707;5.871818;27.018959;21.927023;28.167645;2.71E-04;0;100
459;QUC 3555-2017;R-019_Plot-459;0.6042265;37.595943;0.3314007;68.77885;3.330902;42.505894;26.715525;47.12205;1.79E-04;0;100
460;QUC 3416-2020;R-019_Plot-460;0.56002736;34.690033;0.27546352;62.904728;3.6649425;34.283398;23.229523;38.35521;3.58E-04;0;100
461;QUC 3558-2020;R-019_Plot-461;0.47918645;34.4725;0.27275366;54.378307;3.213019;30.024872;19.768515;32.676723;2.66E-04;0;100
462;QUC 3638-2020;R-019_Plot-462;0.49853325;31.193365;0.2505002;55.78304;4.7353277;28.654047;21.729073;31.411945;2.66E-04;0;100
463;QUC 3558-2018;R-019_Plot-463;0.54881614;39.492638;0.33340985;63.27533;1.5286791;39.840218;22.058197;43.787773;0.001431639;0;100
464;QUC 3599-2020;R-019_Plot-464;0.47146258;39.46938;0.32080054;54.77993;1.0211815;34.24831;18.073147;36.894184;0.008700284;0;100
465;QUC 3487-2018  ;R-019_Plot-465;0.50785;45.76552;0.36066008;60.16334;-2.7723718;40.697296;15.163556;44.543934;0.002308239;0;100
466;QUC 3637-2020;R-019_Plot-466;0.46582302;38.86435;0.33046794;54.233753;1.6421632;34.62522;19.106098;36.920307;2.66E-04;0;100
467;QUC 3536-2018;R-019_Plot-467;0.50748664;48.046833;0.4183473;61.494854;-4.0723896;45.98445;15.051695;49.330708;0.001673714;0;100
