Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
188;QUC 3309-2020;740;23.5351;0.2061;23.1713;24.349;100;-3.40E+38;3.40E+38
189;QUC 3531-2022;740;23.3629;0.1573;23.0667;24.1813;100;-3.40E+38;3.40E+38
190;QUC 3610-2020;730;23.0239;0.1417;22.7071;23.5825;100;-3.40E+38;3.40E+38
191;QUC 3534-2022;731;23.0631;0.1033;22.7991;23.4015;100;-3.40E+38;3.40E+38
192;QUC 3517-2017  ;738;22.713;0.1207;22.47;23.1232;100;-3.40E+38;3.40E+38
193;QUC 3416-2020;740;22.9125;0.1357;22.6204;23.3496;100;-3.40E+38;3.40E+38
194;QUC 3558-2020;730;22.8515;0.1084;22.6262;23.3496;100;-3.40E+38;3.40E+38
195;QUC 4562-2021;720;23.3334;0.2286;22.9504;24.3872;100;-3.40E+38;3.40E+38
196;QUC 4537-2021;720;22.8957;0.1458;22.5985;23.5253;100;-3.40E+38;3.40E+38
197;QUC 3409-2020;720;22.7998;0.1643;22.4594;23.3816;100;-3.40E+38;3.40E+38
198;QUC 3630-2020;730;23.1878;0.1947;22.7097;23.7543;100;-3.40E+38;3.40E+38
199;QUC 3624-2020;720;23.2326;0.2697;22.6974;24.0749;100;-3.40E+38;3.40E+38
200;QUC 3509-2017 ;720;23.4237;0.9103;22.6422;29.1798;100;-3.40E+38;3.40E+38
201;QUC 3679-2020;720;22.9358;0.2932;22.4793;24.0087;100;-3.40E+38;3.40E+38
202;QUC 3493-2018;619;22.6584;0.1943;22.4529;23.6564;100;-3.40E+38;3.40E+38
203;QUC 3509-2017;730;22.8217;0.2326;22.4613;24.0964;100;-3.40E+38;3.40E+38
204;QUC 3614-2020;731;23.3696;0.1646;23.0654;24.2197;100;-3.40E+38;3.40E+38
205;QUC 4540-2021;720;22.8786;0.2544;22.5832;25.2457;100;-3.40E+38;3.40E+38
206;QUC 3772-2021;720;23.1273;0.2276;22.5776;24.1448;100;-3.40E+38;3.40E+38
207;QUC 3417-2020;730;23.0426;0.1047;22.801;23.3089;100;-3.40E+38;3.40E+38
208;QUC 3584-2020;740;23.3389;0.1121;23.106;23.9338;100;-3.40E+38;3.40E+38
209;QUC 3618-2020;740;22.9594;0.1749;22.6682;23.8768;100;-3.40E+38;3.40E+38
210;QUC 3489-2018  ;731;23.2465;0.1875;22.9208;24.8871;100;-3.40E+38;3.40E+38
211;QUC 4480-2021;730;23.0056;0.1782;22.7174;23.5784;100;-3.40E+38;3.40E+38
212;QUC 3513-2020;740;22.9516;0.1761;22.5487;23.6104;100;-3.40E+38;3.40E+38
213;QUC 3632-2020;740;25.0042;0.2976;24.2195;25.9135;100;-3.40E+38;3.40E+38
214;QUC 3601-2020;740;25.0844;0.1962;24.5917;26.2341;100;-3.40E+38;3.40E+38
215;QUC 4597-2021;751;23.2218;0.2119;22.8254;24.0867;100;-3.40E+38;3.40E+38
216;QUC 3543-2022;750;22.8192;0.1446;22.5372;23.4324;100;-3.40E+38;3.40E+38
217;QUC 3224-2020;740;23.8203;0.2653;23.1885;24.4562;100;-3.40E+38;3.40E+38
218;QUC 4557-2021;740;23.6404;0.2178;23.1734;24.23;100;-3.40E+38;3.40E+38
219;QUC 3581-2020;751;23.1226;0.251;22.7366;24.0541;100;-3.40E+38;3.40E+38
220;QUC 3637-2020;760;24.8781;0.2793;24.1092;25.7135;100;-3.40E+38;3.40E+38
221;QUC 3661-2020;760;25.3851;0.2092;24.6082;26.3639;100;-3.40E+38;3.40E+38
222;QUC 3613-2017 ;750;24.4338;0.1364;24.1247;24.8604;100;-3.40E+38;3.40E+38
223;QUC 3561-2020;751;25.2117;0.296;24.7236;26.6805;100;-3.40E+38;3.40E+38
224;QUC 3627-2020;760;25.9106;0.2028;25.3937;28.0815;100;-3.40E+38;3.40E+38
225;QUC 4543-2021;741;25.3468;0.4992;24.7484;27.656;100;-3.40E+38;3.40E+38
226;QUC 3423-2020;741;25.1415;0.4654;24.5262;27.1636;100;-3.40E+38;3.40E+38
227;QUC 3117-2020;760;26.1916;0.6895;25.2738;28.833;100;-3.40E+38;3.40E+38
228;QUC 3422-2020;751;25.5865;0.2728;24.9182;26.3647;100;-3.40E+38;3.40E+38
229;QUC 3611-2020;750;24.3978;0.3859;23.5227;25.3014;100;-3.40E+38;3.40E+38
230;QUC 3212-2020;760;24.8449;0.4891;23.9611;25.8746;100;-3.40E+38;3.40E+38
231;QUC 3672-2018  ;760;25.3195;0.2929;24.6459;25.9625;100;-3.40E+38;3.40E+38
232;QUC 3406-2020;751;24.6322;0.4557;23.5889;26.171;100;-3.40E+38;3.40E+38
233;QUC 3606-2021;740;23.8471;0.4901;23.1506;25.1037;100;-3.40E+38;3.40E+38
234;QUC 3316-2019;740;23.8535;0.098;23.6313;24.3459;100;-3.40E+38;3.40E+38
235;UC-1218;750;23.7394;0.2491;23.4158;24.6711;100;-3.40E+38;3.40E+38
236;QUC 3529-2022;751;23.3943;0.214;23.0797;24.2433;100;-3.40E+38;3.40E+38
237;QUC 4255-2021;740;23.3635;0.2033;23.0022;23.9085;100;-3.40E+38;3.40E+38
238;QUC 3223-2020;740;24.5506;0.3512;23.8145;25.8596;100;-3.40E+38;3.40E+38
239;QUC 3218-2020;740;24.8222;0.2737;23.7248;25.2806;100;-3.40E+38;3.40E+38
240;QUC 3546-2020;730;23.4947;0.208;22.8837;24.441;100;-3.40E+38;3.40E+38
241;QUC 4538-2021;731;23.6224;0.3095;23.1336;24.8859;100;-3.40E+38;3.40E+38
242;QUC 4561-2021;740;23.8855;0.2191;23.2705;24.7558;100;-3.40E+38;3.40E+38
243;QUC 3562-2020;740;22.9651;0.1834;22.6263;24.0453;100;-3.40E+38;3.40E+38
244;QUC 3420-2020;589;22.6985;0.1826;22.4534;23.2203;100;-3.40E+38;3.40E+38
245;QUC 3532-2018  ;613;22.6094;0.103;22.453;22.9612;100;-3.40E+38;3.40E+38
246;QUC 3213-2020;720;23.5081;0.3359;22.5693;25.3165;100;-3.40E+38;3.40E+38
247;QUC 3662-2020;731;24.0049;0.3255;23.0858;25.7021;100;-3.40E+38;3.40E+38
248;QUC 4255-2021;730;23.6059;0.5986;22.9998;27.4454;100;-3.40E+38;3.40E+38
249;QUC 3523-2022;720;22.887;0.3442;22.4875;24.4258;100;-3.40E+38;3.40E+38
250;QUC 3639-2020;716;23.5217;0.2954;22.4683;24.4366;100;-3.40E+38;3.40E+38
251;QUC 4596-2021;720;23.2736;0.727;22.623;27.5324;100;-3.40E+38;3.40E+38
252;QUC 4544-2021;720;23.7198;0.3211;22.7624;25.1732;100;-3.40E+38;3.40E+38
253;QUC 3585-2020;729;23.8512;0.5921;22.4622;26.4352;100;-3.40E+38;3.40E+38
254;QUC 3454-2017;731;22.9003;0.2763;22.5347;24.1652;100;-3.40E+38;3.40E+38
255;QUC 3225-2020;720;23.1686;0.3256;22.7798;25.2197;100;-3.40E+38;3.40E+38
256;QUC 3615-2020;720;23.4552;0.178;22.98;23.9202;100;-3.40E+38;3.40E+38
257;QUC 3633-2020;730;23.8276;0.2628;23.0534;25.2369;100;-3.40E+38;3.40E+38
258;QUC 3448-2017  ;740;23.3549;0.3487;22.8812;25.6999;100;-3.40E+38;3.40E+38
259;QUC 3328-2019  ;740;23.3196;0.297;23.0297;25.1691;100;-3.40E+38;3.40E+38
260;QUC 3623-2020;731;23.6478;0.2636;22.7715;25.666;100;-3.40E+38;3.40E+38
261;QUC 3586-2020;730;23.1979;0.2443;22.8335;24.388;100;-3.40E+38;3.40E+38
262;QUC 3678-2016;740;23.1155;0.1671;22.8513;24.0122;100;-3.40E+38;3.40E+38
263;QUC 3424-2020;740;24.254;0.1819;23.7918;25.177;100;-3.40E+38;3.40E+38
264;QUC 3208-2020;740;24.5736;0.2341;23.6165;25.2515;100;-3.40E+38;3.40E+38
265;QUC 3531-2018  ;751;24.488;0.5358;23.786;27.116;100;-3.40E+38;3.40E+38
266;QUC 3678-2016  ;750;24.3296;0.468;23.5114;25.4724;100;-3.40E+38;3.40E+38
267;QUC 3604-2020;740;26.9712;0.3792;25.4914;28.7485;100;-3.40E+38;3.40E+38
268;QUC 3517-2022;740;26.7658;0.6652;25.4043;31.9449;100;-3.40E+38;3.40E+38
