Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
359;QUC 3679-2016;R-015_Plot-359;0.3691007;51.309616;0.2899167;44.02864;-4.99609;27.217546;5.4560003;29.347462;0.056100218;0;100
360;QUC 4595-2021;R-015_Plot-360;0.45659438;42.474632;0.26162905;52.602802;-1.6377842;28.917995;11.739268;32.299576;0.022694263;0.012890341;43.2
361;QUC 3859-2021;R-015_Plot-361;0.4884015;37.277256;0.29378587;55.958252;1.9831549;32.631958;19.091312;35.615833;5.40E-04;0;100
362;QUC 4459-2021;R-015_Plot-362;0.44267568;49.50837;0.29241592;52.216015;-4.8750625;31.463177;7.84546;35.09893;0.048389998;0;100
363;QUC 3313-2019;R-015_Plot-363;0.51704156;39.662075;0.27572042;58.995903;0.121639974;32.836475;16.613438;36.92828;7.20E-04;0;100
364;QUC 3411-2020;R-015_Plot-364;0.4643664;48.432507;0.2132026;53.1683;-4.5170774;25.784296;6.269503;30.111523;0.121746881;0.080748663;33.6749634
365;QUC 3678-2020;R-015_Plot-365;0.51516384;48.707546;0.23745334;59.032585;-5.000368;30.29471;7.755295;35.680668;0.127362657;0.096272743;24.41054092
366;QUC 3209-2020;R-015_Plot-366;0.47104597;45.891163;0.33710313;55.727528;-2.914088;36.391937;12.910974;39.776165;7.00E-04;0;100
367;QUC 3522-2022;R-015_Plot-367;0.47950163;51.001022;0.33617646;57.223793;-6.0375752;37.490562;8.705416;41.776928;0.052464229;0;100
368;QUC 3634-2020;R-015_Plot-368;0.53787786;39.207195;0.2139563;60.168816;-0.80414337;28.063938;13.301437;32.88511;0.080532213;0.065826331;18.26086957
369;QUC 3669-2020;R-015_Plot-369;0.52270573;45.269558;0.3298236;61.165604;-2.7700467;38.80595;14.615633;43.290104;0.08728093;0.06125282;29.82107356
370;QUC 3401-2020;R-015_Plot-370;0.46095955;50.344166;0.2993815;54.435963;-5.435447;33.17216;7.828005;37.262283;0.007287871;0;100
371;QUC 4425-2021;R-015_Plot-371;0.49180043;46.351856;0.3218779;57.796772;-3.391486;36.409367;12.41645;40.481205;0.001041124;0;100
372;QUC 3513-2020;R-015_Plot-372;0.37126163;58.984024;0.23865777;43.988956;-7.136859;24.240454;1.4216297;27.205984;0.483316133;0.002235982;99.53736655
373;QUC 3315-2019;R-015_Plot-373;0.44532442;53.059414;0.19895172;51.17661;-5.8344555;24.125666;3.5760236;28.397007;0.104859335;0.067348679;35.77235772
374;QUC 3596-2020;R-015_Plot-374;0.35509756;50.13017;0.27267706;42.089542;-4.3758945;25.111006;5.426099;26.94997;0.016538789;0;100
375;QUC 4222-2021;R-015_Plot-375;0.43504623;45.670204;0.24150646;50.234554;-3.2187054;26.538359;8.262861;29.937717;0.009827586;0;100
376;QUC 4255-2021;R-016_Plot-376;0.38916564;51.30531;0.2148577;45.170094;-4.8820715;22.774431;4.069694;25.726273;0.083275862;0.002586207;96.89440994
377;QUC 3546-2022;R-016_Plot-377;0.32990053;61.78868;0.2887466;40.168003;-8.006573;25.648243;0.51857466;27.548176;0.694458653;0.007331628;98.94426712
378;QUC 3606-2020;R-016_Plot-378;0.5573836;44.04736;0.20022213;62.37582;-3.2965755;28.043907;9.630032;33.781967;0.046888321;0.031372549;33.09090909
379;QUC 3582-2020;R-016_Plot-379;0.43981397;48.32788;0.30867332;52.055264;-4.2582316;32.4885;9.111571;35.79533;0.003611971;0;100
