Parc.;Variedad; ;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
75;QUC 3517-2017;75;680;34.6936;0.8412;33.2016;38.4827;100;-3.40E+38;3.40E+38
76;QUC 3592-2020;76;680;34.9704;0.8689;33.7629;39.2349;100;-3.40E+38;3.40E+38
77;QUC 3425-2020;77;680;35.3722;1.4584;33.6162;41.7826;100;-3.40E+38;3.40E+38
78;LLEUQUE-INIA;78;680;33.2305;1.3246;32.0189;38.5577;100;-3.40E+38;3.40E+38
79;QUC 3522-2022;79;678;34.2898;2.6997;32.0785;45.1012;100;-3.40E+38;3.40E+38
80;QUC 4592-2021;80;670;34.1515;1.1524;31.9467;38.1135;100;-3.40E+38;3.40E+38
81;QUC 3603-2020;81;660;34.1272;2.3563;32.0266;44.1534;100;-3.40E+38;3.40E+38
82;QUC 3616-2020;82;670;36.1117;1.6183;34.012;42.2934;100;-3.40E+38;3.40E+38
83;QUC 3606-2020;83;663;36.7649;2.4652;33.9517;45.4729;100;-3.40E+38;3.40E+38
84;QUC 4552-2021;84;680;35.0171;1.149;33.0507;41.2625;100;-3.40E+38;3.40E+38
85;QUC 3555-2017  ;85;676;34.2034;2.1702;32.3825;45.0198;100;-3.40E+38;3.40E+38
86;QUC 3582-2020;86;680;34.3088;1.242;32.6785;40.9418;100;-3.40E+38;3.40E+38
87;QUC 3678-2020;87;675;35.9385;2.2438;33.5887;45.6696;100;-3.40E+38;3.40E+38
88;QUC 3625-2020;88;668;36.3225;2.1502;33.6189;45.5651;100;-3.40E+38;3.40E+38
89;QUC 3401-2020;89;660;36.0991;2.2105;33.4032;44.4838;100;-3.40E+38;3.40E+38
90;QUC 3543-2020;90;660;34.6221;1.2454;32.8099;41.1052;100;-3.40E+38;3.40E+38
91;QUC 3632-2021;91;647;36.7491;2.6127;33.3523;45.7005;100;-3.40E+38;3.40E+38
92;QUC 4600-2021;92;660;33.2039;1.2776;31.1751;39.7136;100;-3.40E+38;3.40E+38
93;QUC 3584-2018;93;660;33.3748;1.4353;31.6764;40.0173;100;-3.40E+38;3.40E+38
94;QUC 4605-2021;94;670;34.1586;1.5338;32.1766;43.2546;100;-3.40E+38;3.40E+38
95;QUC 3521-2020;95;680;33.8102;1.3553;32.1702;39.7018;100;-3.40E+38;3.40E+38
96;QUC 3525-2022;96;670;33.6081;1.3933;32.3311;40.2166;100;-3.40E+38;3.40E+38
97;QUC 3326-2019;97;655;35.698;2.0837;32.4717;45.6264;100;-3.40E+38;3.40E+38
98;QUC 3317-2019;98;660;34.711;1.5441;32.8424;42.8082;100;-3.40E+38;3.40E+38
99;QUC 3547-2022;99;660;35.1329;1.1027;33.3712;39.8862;100;-3.40E+38;3.40E+38
100;QUC 4598-2021;100;660;35.5385;1.1967;33.394;41.1817;100;-3.40E+38;3.40E+38
101;QUC 3518-2022;101;660;33.6455;0.6299;32.1572;35.1109;100;-3.40E+38;3.40E+38
102;QUC 3524-2022;102;660;33.6018;1.6356;31.9884;41.3634;100;-3.40E+38;3.40E+38
103;QUC 3414-2020;103;660;34.7919;0.7838;33.0478;37.5657;100;-3.40E+38;3.40E+38
104;QUC 3544-2020;104;657;35.3456;1.4157;33.5729;45.0475;100;-3.40E+38;3.40E+38
105;QUC 3636-2020;105;670;33.5795;1.3151;32.0462;38.4692;100;-3.40E+38;3.40E+38
106;QUC 3421-2020;106;680;34.5319;1.4847;32.5406;41.9559;100;-3.40E+38;3.40E+38
107;QUC 4454-2021;107;670;34.4442;1.4457;32.8825;40.7745;100;-3.40E+38;3.40E+38
108;QUC 3859-2021;108;660;34.0735;0.8375;32.7459;38.1306;100;-3.40E+38;3.40E+38
109;QUC 3532-2022;109;660;32.1721;0.9073;31.1768;36.6342;100;-3.40E+38;3.40E+38
110;QUC 3655-2020;110;660;33.863;1.1005;32.2263;37.8138;100;-3.40E+38;3.40E+38
111;QUC 3534-2020;111;660;33.0156;0.9932;31.3434;36.0369;100;-3.40E+38;3.40E+38
112;QUC 3648-2020;112;660;34.4775;1.571;32.0712;39.8425;100;-3.40E+38;3.40E+38
113;QUC 4541-2021;113;670;35.1535;1.9724;32.066;41.8256;100;-3.40E+38;3.40E+38
114;QUC 3311-2019;114;680;34.1953;1.8764;31.8433;42.0768;100;-3.40E+38;3.40E+38
115;QUC 3649-2020;115;680;35.5965;1.4442;33.3076;41.4613;100;-3.40E+38;3.40E+38
116;QUC 3454-2020  ;116;680;35.4449;2.0886;33.069;44.8873;100;-3.40E+38;3.40E+38
117;QUC 4483-2021;117;680;35.0613;1.0285;33.4179;38.9677;100;-3.40E+38;3.40E+38
118;QUC 3410-2020;118;680;34.6529;1.566;32.8848;40.446;100;-3.40E+38;3.40E+38
119;QUC 3638-2020;119;670;35.3037;1.1678;33.0937;38.8982;100;-3.40E+38;3.40E+38
120;QUC 4546-2021;120;651;37.3334;2.7682;34.1305;45.6026;100;-3.40E+38;3.40E+38
121;QUC 4481-2021;121;670;35.5065;2.0314;33.1271;42.205;100;-3.40E+38;3.40E+38
122;QUC 3409-2020;122;678;36.0291;1.8186;33.5606;44.934;100;-3.40E+38;3.40E+38
123;QUC 3404-2020;123;680;37.0744;1.1759;34.2018;42.1143;100;-3.40E+38;3.40E+38
124;QUC 3741-2020;124;680;36.0276;2.0428;33.6536;42.5194;100;-3.40E+38;3.40E+38
125;QUC 3528-2022;125;680;33.5447;1.2699;32.1322;38.2127;100;-3.40E+38;3.40E+38
126;QUC 3407-2020;126;680;35.1253;1.185;33.4459;39.4687;100;-3.40E+38;3.40E+38
127;QUC 3631-2020;127;680;36.1018;1.4664;32.445;42.4495;100;-3.40E+38;3.40E+38
128;QUC 3401-2018;128;680;34.1981;0.9191;32.561;38.5819;100;-3.40E+38;3.40E+38
129;QUC 3657-2020;129;680;33.5831;0.8692;32.2485;36.2597;100;-3.40E+38;3.40E+38
130;QUC 3311-2019;130;670;32.4603;1.3042;31.1385;39.5693;100;-3.40E+38;3.40E+38
131;QUC 3626-2020;131;660;36.357;1.8528;33.802;44.9842;100;-3.40E+38;3.40E+38
132;QUC 4568-2021;132;670;34.2072;1.5321;31.9252;41.8729;100;-3.40E+38;3.40E+38
133;QUC 3622-2021;133;680;33.8173;1.0591;31.9641;38.9577;100;-3.40E+38;3.40E+38
134;QUC 3492-2018;134;680;32.1274;1.1302;30.8658;38.0258;100;-3.40E+38;3.40E+38
135;QUC 4323-2021;135;680;33.3039;1.057;31.9989;38.3655;100;-3.40E+38;3.40E+38
136;QUC 3594-2017  ;136;680;32.2492;0.7737;31.1344;39.2819;100;-3.40E+38;3.40E+38
137;QUC 3635-2020;137;680;33.7654;1.8933;31.8099;41.0429;100;-3.40E+38;3.40E+38
138;QUC 3536-2022;138;670;33.0181;1.511;31.7232;42.7141;100;-3.40E+38;3.40E+38
